source_path,destination_path,sha256,size_bytes,file_type,import_status,notes
reference/raw-approved-v1-engines/22556600V1Summary.json,reference/approved-v1-summaries/22556600V1Summary.json,bb284647d35b62a53f4b98993b6183ad348cb2e531be3f4c851471c9c5ab7e5a,972377,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22559000V1Summary.json,reference/approved-v1-summaries/22559000V1Summary.json,1e8e34bed4b003fbfd6378cfb8049ed82161a6aa7e60d61ea45ca89eab745e67,300508,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22561900V1Summary.json,reference/approved-v1-summaries/22561900V1Summary.json,71f197fc61a3d4d40c9f5ce449a1845dac78ebabd1a7889adeadd698be69188b,586782,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22578100V1Summary.json,reference/approved-v1-summaries/22578100V1Summary.json,549211bebbfb4a365dc44d2b9791f278d6f88bd1637fcd527688f9705ff3a232,217818,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22578800v1Summary.json,reference/approved-v1-summaries/22578800v1Summary.json,f9d001d222f3d40217ecf8ee41ae38d6fd9b5c331e91da08c11d959376564eeb,570328,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22593100V1Summary.json,reference/approved-v1-summaries/22593100V1Summary.json,e65637ff0985971e80678cf0590cdefb57a33dab0300518c2cb0383a5eb826d3,324017,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22604200V1Summary.json,reference/approved-v1-summaries/22604200V1Summary.json,4af103ae94dba541ae04e5f70efb59d89d1920964ba9b6d7cf596f75b74ddcb6,252793,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22622200V1Summary.json,reference/approved-v1-summaries/22622200V1Summary.json,6d9f2112f3f843ae405912517e1ea251ade104b4c0d870770c5db0b4e2e91290,259162,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22622300V1Summary.json,reference/approved-v1-summaries/22622300V1Summary.json,418cdbf47f72d211f5dcc3e0fd9c128321ed9214d6d465ca2878f1fd5e794116,486205,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22627500V1Summary.json,reference/approved-v1-summaries/22627500V1Summary.json,11fc693665701db8e1bd1ec1b3fb561cf68c7fa840d29385299d326f7679aa8b,177902,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22643900V1Summary.json,reference/approved-v1-summaries/22643900V1Summary.json,3353fa9c35306999ebaf390d41862e70d033a5b693180c18c66c53de5c452d93,411538,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22651700v1Summary.json,reference/approved-v1-summaries/22651700v1Summary.json,b0f84d9c67a04432d3422c50bdc5c4ce6f5f3cfa91fc299a8ea02126e52aacfe,510668,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22654400V1Summary.json,reference/approved-v1-summaries/22654400V1Summary.json,4cbdd8fd44069ce5eda06a811f23db9feaf2d0db09e39e1996bdb093183ba211,585109,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22654500V1Summary.json,reference/approved-v1-summaries/22654500V1Summary.json,1ca51a510da93e5a5cd8405421027ef8d14c4c132d77751c9348cc3bdc964029,143170,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22655500V1Summary.json,reference/approved-v1-summaries/22655500V1Summary.json,4324897225233676586ea5e4dc554a6ee15dbece254f848834f9307290ad0852,558763,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22660000V1Summary.json,reference/approved-v1-summaries/22660000V1Summary.json,3da1a4bba0a07ec473bb89a0fce5d19c3244592b6c44eefa6d1a07b3e93ab1f3,291209,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22672000v1Summary.json,reference/approved-v1-summaries/22672000v1Summary.json,bca8850938a29304dd17dcf6f4f3f80076b70b730bd73b482c1b1956efe592ea,471687,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22677500V1Summary.json,reference/approved-v1-summaries/22677500V1Summary.json,58c0105e8f37deb5bc0f702cd653c817f568be6ba99cb39de5a213677079a677,476818,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22677600V1Summary.json,reference/approved-v1-summaries/22677600V1Summary.json,978e1d612df1018c4331242844e6e514b7347b3cef5c9a5fe1749eec6208ebf6,433055,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22684100V1Summary.json,reference/approved-v1-summaries/22684100V1Summary.json,60eeac8290658ab1fc7691907cea41a9c8b584358a71ef96340890ccf11bb4a4,1348800,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22684700V1Summary.json,reference/approved-v1-summaries/22684700V1Summary.json,db051aedc1708b1249d816f4369f3b30b3ad7ebb9e1db649458d6b38d2599a8f,273905,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22693300V1Summary.json,reference/approved-v1-summaries/22693300V1Summary.json,d06561a84986e7a9be3468cc9b217f824ef335825c1c86d2369d55e7408d6522,397897,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22696900V1Summary.json,reference/approved-v1-summaries/22696900V1Summary.json,fb6d5d5f1d5bce84352fe53fa464c8f6e27ff8d578e674e4d4cfe48232ab0de7,1141507,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22713400v1Summary.json,reference/approved-v1-summaries/22713400v1Summary.json,dbe3c2dfc20f7e6044865497a1eda3468d139505828c5cda24a25ee00b5e5ca6,246268,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22714500V1Summary.json,reference/approved-v1-summaries/22714500V1Summary.json,07c20ba24f7a832a68ce62fdba4147bfc68e640b1ab42aaa4253a335c17228eb,234220,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22716200V1Summary.json,reference/approved-v1-summaries/22716200V1Summary.json,3448e10ce2f17cbc16e12e1db51dd05c9e3dd05929241d9cef4cf986fe52f426,242852,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22717000v1Summary.json,reference/approved-v1-summaries/22717000v1Summary.json,926e840f7534432265f8ecea8190ed73b8e5e575750809571b9f4982033f0301,720085,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22717200v1Summary.json,reference/approved-v1-summaries/22717200v1Summary.json,9d02eadb8695ccbdee4f62d300abacb0f3f473a47ccc8ab4eb1ced35f27bce6b,664734,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22718900V1Summary.json,reference/approved-v1-summaries/22718900V1Summary.json,d059c6d89f1e5796b8e76f5e0225eaa2af6e8970387cee1ff80558a4d84dd0e8,288426,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22733800V1Summary.json,reference/approved-v1-summaries/22733800V1Summary.json,6527dfd6ec9b983a05636852165a2ce4936792d5715c982c2ed1e17dc6d0f007,277634,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22762600v1Summary.json,reference/approved-v1-summaries/22762600v1Summary.json,3533de89eaa31993644b9e5b0ab4fd836dd36152afa621a7b59166887d35ec9e,249101,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22765000V1Summary.json,reference/approved-v1-summaries/22765000V1Summary.json,2e2d22680228c7beae141bb08c98a3c94b87daaef0e2726599b4e7b1685d96e3,286092,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22771500V1Summary.json,reference/approved-v1-summaries/22771500V1Summary.json,90415afa379095748356a3008e43cb85973ece9f6e4f15e5b64a6f0ee408055e,4261853,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22779600V1Summary.json,reference/approved-v1-summaries/22779600V1Summary.json,b183b7057b825876de04c142aca84831a103e6f80a0582ea95528ce1b7e5fe12,2426818,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22801800V1Summary.json,reference/approved-v1-summaries/22801800V1Summary.json,a3c46033b044ac60417f9df919648b437f585197aa0118e8b6344d7e8efdd5d3,359320,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22804300V1Summary.json,reference/approved-v1-summaries/22804300V1Summary.json,119dbca8f7a4528c2d8d1569fa6e513d1eba1eccdff629ca02713593bffc4257,209929,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22813300V1Summary.json,reference/approved-v1-summaries/22813300V1Summary.json,70a13538b5df2c3250fda30c9cdf96147fd9fb48f899fbf07c05aefc7db6e416,363368,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22818600V1Summary.json,reference/approved-v1-summaries/22818600V1Summary.json,0d9113e3d3843f44c6401336519b95521353759e598403cfb17cf94272369e6a,233633,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22821900V1Summary.json,reference/approved-v1-summaries/22821900V1Summary.json,c2b9ab5cf8f2977c39978a4588649f646953b9368cb6fcc6a15c36d3946995bf,1172694,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22827400V1Summary.json,reference/approved-v1-summaries/22827400V1Summary.json,6dd01ad321c2ad2cbe59f3e0ce924799ab02d1c22dcc2eac73dcf81d056f7176,454670,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22832700V1Summary.json,reference/approved-v1-summaries/22832700V1Summary.json,de448420a821b7c0f8603a688a983c742faa808e7dabac61e18d22262f0d3d87,387187,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22858300V1Summary.json,reference/approved-v1-summaries/22858300V1Summary.json,c7a435ecb915cfaa2aec7d18d4f95eee153920059c79580cc43ffb76dbd5965e,475194,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22858400V1Summary.json,reference/approved-v1-summaries/22858400V1Summary.json,e9fa5eff755a507b1325a0f9f002232191236ed1db737e31380f970b2178202f,2059674,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22862400V1Summary.json,reference/approved-v1-summaries/22862400V1Summary.json,c56b6b9745b3066feb92d00783c95cea455c1edd34aeb9490628232e47b4738d,1330991,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22873400V1Summary.json,reference/approved-v1-summaries/22873400V1Summary.json,bf7a853c7217c29c0ea01d199a3b726286274fd1ba99ae52ff56da54b6f91c62,430224,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22875600v103Summary.json,reference/approved-v1-summaries/22875600v103Summary.json,8a777e24518e9bbbfa707e584b0f590af8960c6d4331e87100c97365e61c9707,392189,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22878600V1Summary.json,reference/approved-v1-summaries/22878600V1Summary.json,051ae0da739f2624df732a11782992167dc98f8c03943a27229f5246eb8b30ca,721512,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22880000V1Summary.json,reference/approved-v1-summaries/22880000V1Summary.json,a05b59c417ce75535ed77271e742130774568daee199bc17dc584b05426a9849,233617,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22880800V1Summary.json,reference/approved-v1-summaries/22880800V1Summary.json,288d984cd120b8689a19a0def322d0a80da74aa0fb01aa67ab0700bdeebe60e3,353301,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22883300V1Summary.json,reference/approved-v1-summaries/22883300V1Summary.json,ba8bf4f503fda02cf0c12116f5dc9da8986d1988c37e3c462fc1e1f555c74fd2,334737,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22886000V1Summary.json,reference/approved-v1-summaries/22886000V1Summary.json,fbd7aef2981b7a7d9dd04f301a7e7d7777ba9dc61f150e0d5b884a1d6f7852ca,454854,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22886200V1Summary.json,reference/approved-v1-summaries/22886200V1Summary.json,88692e9f2fa7ff3a163a2b04f2783bebebd553fca4068371e2c2f66b78a40bdb,336198,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22887900V1Summary.json,reference/approved-v1-summaries/22887900V1Summary.json,a7a3c1842ae158bc66c66eeaf8cc3e9bf9fd701264b04962e01cb3bf18feeec8,304916,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22895500V1Summary.json,reference/approved-v1-summaries/22895500V1Summary.json,bb8f70c2abdd5268afabce92259506a37d9ec59b6bc8cf1e794eda0a9236a13c,341020,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22915800V1Summary.json,reference/approved-v1-summaries/22915800V1Summary.json,737d5ed23599e2c63edfdc0750e23f3dc14051ec9c090b2e706aa64d8413ede5,2242648,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22923400v1Summary.json,reference/approved-v1-summaries/22923400v1Summary.json,813a0d8b14274b1a9ef7b54b943a4f2a4c30b97e6e1d6da01654aa5625fdc4ce,328628,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22923500V1Summary.json,reference/approved-v1-summaries/22923500V1Summary.json,5ef2a54011ef530de15707f5b3d9d2ab7a86596e6d50ac9fd4e6549f6bae4e04,304231,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22923700V1Summary.json,reference/approved-v1-summaries/22923700V1Summary.json,17ab0698b33f54529bede895954f3a708f85ed8f7d08b3fbc22feb96f89cca0e,587327,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22926300V1Summary.json,reference/approved-v1-summaries/22926300V1Summary.json,40e15d898cb6f55f18d5da84be000ebff8d3c42a6536aaac1bc1ef28cb76d892,260295,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22942400V1Summary.json,reference/approved-v1-summaries/22942400V1Summary.json,9e34851e76ab3a028c5302d2f8e5ef4f25f1509d9f0dc245517d2108f7732ee7,301079,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22964700V1Summary.json,reference/approved-v1-summaries/22964700V1Summary.json,64b902ff5af8988274c0168d79f8974e8cf85598df52ac69b3389b1b3968e025,386204,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22965000V1Summary.json,reference/approved-v1-summaries/22965000V1Summary.json,ec567bfb5964b3bf05988571d889f07333fc9f96e66b8f1ebed4599006cde646,676623,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22969600v1Summary.json,reference/approved-v1-summaries/22969600v1Summary.json,b0fcfcb9f80c711754111d0ce557ecb1c565b49ccd38b47270a898117d47842f,1488543,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22974900V1Summary.json,reference/approved-v1-summaries/22974900V1Summary.json,01141ef8ac1952c2a7dc683a71dfe689a87147cc47872cea4d0184bf57fe5fb4,445334,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22975000V1Summary.json,reference/approved-v1-summaries/22975000V1Summary.json,11c63837f5f4a182b54c60a2a812665096e6cce31706733e858de56fbccda660,161254,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22977000V1Summary.json,reference/approved-v1-summaries/22977000V1Summary.json,5bab127f81954ec157be140859a17f7030e462e46b0e8c9abc0abdb62dae873f,325964,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22977800V1Summary.json,reference/approved-v1-summaries/22977800V1Summary.json,2e7392193d86486dbf724af9f837adaa31469d278a7a6a5f16685b93e4851211,198936,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22989600v1Summary.json,reference/approved-v1-summaries/22989600v1Summary.json,303f9308a096e286d3cae689aabaeee2719fe994b7dc536b89eca3edbda34bc3,703969,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/22996800V1Summary.json,reference/approved-v1-summaries/22996800V1Summary.json,3dab11d36c863b5370ef3d7164f550da69084f6ddb1c000dff8dce4b463470ac,256828,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23008300V1Summary.json,reference/approved-v1-summaries/23008300V1Summary.json,060112022bcac38d5554ab118ff6427546afddca5de075ab0f67bb367c6f5501,372602,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23025600V1Summary.json,reference/approved-v1-summaries/23025600V1Summary.json,005b38415f71de344f0409b32e13cb54e758519adeff78981c2d1684cc1cb579,823286,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23025700V1Summary.json,reference/approved-v1-summaries/23025700V1Summary.json,06bf3945c83f94284cbce8a7b7fb2a26cc3a1580b942cf72cd56203095cdd8b1,270849,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23025800V1Summary.json,reference/approved-v1-summaries/23025800V1Summary.json,d984ae215ee5bc75771e1f743ac43cd55666a04c2c205b6d47356737d05672e5,538655,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23032100V1Summary.json,reference/approved-v1-summaries/23032100V1Summary.json,4a12c08e2f6d54fd9c585fe3a5b948b3ff07860382816f8d2c62bbc7bf170dcd,323696,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23037700V1Summary.json,reference/approved-v1-summaries/23037700V1Summary.json,76f52ed1988c3d58c1ec743418585fa0ea7dd72098bc249774264b8089ccfe69,744752,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23041100V1Summary.json,reference/approved-v1-summaries/23041100V1Summary.json,bd9f578e411220665372c4f72e184d750a56176424e3ecd8e17bd3d11b169e99,588055,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23041600V1Summary.json,reference/approved-v1-summaries/23041600V1Summary.json,eca3d66581b9a6173822c653e93436a6b9cdd19733db5dffa5007c875b273bd2,262905,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23047500V1Summary.json,reference/approved-v1-summaries/23047500V1Summary.json,6493e3e6df838c3db12e784cb6071c9e81126fba5ec7693393cc5c7889b5bc54,287830,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23051100V1Summary.json,reference/approved-v1-summaries/23051100V1Summary.json,3cb90d5a9a9168439a384bf57cee620cc51cac7cec1a97afa05b797654574dd1,652959,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23057500V1Summary.json,reference/approved-v1-summaries/23057500V1Summary.json,3906d20937da85f93a551e0ba36c09e8afa5e8379e818215b518bf530683338d,311960,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23070200V1Summary.json,reference/approved-v1-summaries/23070200V1Summary.json,832daf0560c33921563145865c08f7a88118207d491a9461cc51ddc1cb644047,309254,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23072900V1Summary.json,reference/approved-v1-summaries/23072900V1Summary.json,ffff2c483ed60e87a048d4e313c212d5db5b53c633e42007001059e9ae90331b,210628,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23083200V1Summary.json,reference/approved-v1-summaries/23083200V1Summary.json,09d6be204c8042a84404222a212bec36ac54059aad153dcf8b6fea3086f7a168,435696,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23084300V1Summary.json,reference/approved-v1-summaries/23084300V1Summary.json,5987f079fb46a80b3606a8e196db8f808f145cdf387d7969e3ddf776eac11808,269832,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23104600V1Summary.json,reference/approved-v1-summaries/23104600V1Summary.json,770317bc68823b6af5d28207821766de546892e5d1199a9bd478080d400ccfc2,586824,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23107800V1Summary.json,reference/approved-v1-summaries/23107800V1Summary.json,0046febc1a71d8db89378ed1eb7ad30fc5dacd2e6c39de41a7391a5c58ceb2a2,347021,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23109600V1Summary.json,reference/approved-v1-summaries/23109600V1Summary.json,80c18e1a0343fa97f2d023b11444a169dc21b5981968efad01e185d666bc51b9,225384,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23109700V1Summary.json,reference/approved-v1-summaries/23109700V1Summary.json,2cca4bdb7f4473de08c267ddd7278f5e8a802d16b7f1c874f659daa98ee4dde7,228194,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23110300V1Summary.json,reference/approved-v1-summaries/23110300V1Summary.json,f5b08289800ec9c216f1b82bc9903b9c077862075a0e36510c2826e58b512f3c,413688,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23124700V1Summary.json,reference/approved-v1-summaries/23124700V1Summary.json,32184c0acc15f8e093a71794a796e759dcc3b2abeca9751c6be5c63a1e5e8d6c,702350,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23136900V1Summary.json,reference/approved-v1-summaries/23136900V1Summary.json,0503a9d8cb1035d37c19b7d3c1780812056a66e42590601da1718644dfe00ebd,385230,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23138400V1Summary.json,reference/approved-v1-summaries/23138400V1Summary.json,e9a8991ec444969630ba9ace14c178efd9d17ea79a4dd81778cea167d1616bf1,1880926,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23138500V1Summary.json,reference/approved-v1-summaries/23138500V1Summary.json,6b4b0f2d463028484bc931125a3511434bd13464b57618b3e96925dc6c54b512,553821,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23141100V1Summary.json,reference/approved-v1-summaries/23141100V1Summary.json,7b66f3ab131df294eca252f5132314af0e1a6f091f9250accbefce20efc783c9,89981,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23141400v1Summary.json,reference/approved-v1-summaries/23141400v1Summary.json,27bc4fc121a6e3c644306c17161abf75dcb083f10fbd1c60537075bebf2fdcbd,578248,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23142600V1Summary.json,reference/approved-v1-summaries/23142600V1Summary.json,569da2a0d97922a2faf965d146dec39eca20449f7da6471630f59a39f8de045d,1078543,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23154700V1Summary.json,reference/approved-v1-summaries/23154700V1Summary.json,a0ac5d4a78e85b12996b4876fcf9deaa0b59ebcfe30a3d861b54aab63f507e89,493979,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23156800V1Summary.json,reference/approved-v1-summaries/23156800V1Summary.json,10f897a9b9410e6789055301dd5413adcb2d4642535e43a78d3924d4654ec9e0,256723,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23159800V1Summary.json,reference/approved-v1-summaries/23159800V1Summary.json,642340a25af7b4d58de39566254f1e5ed73c5a6782a618a230180d336cfca308,311600,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23159900v1Summary.json,reference/approved-v1-summaries/23159900v1Summary.json,a8c95847b4a1bfb3da2f774d6e0448a119e13362cfdd7c0e507199635fe100c8,359933,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23165600v1Summary.json,reference/approved-v1-summaries/23165600v1Summary.json,5b14938ad934dfb005fdf2273943f53eb0f4ec4c2cb20db8b238077e80a6fcaf,225264,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23166300V1Summary.json,reference/approved-v1-summaries/23166300V1Summary.json,18dbc098c8ba65086c45c34e610cf7a0b989fdcdab47e625faeead71753f5958,575909,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23170200V1Summary.json,reference/approved-v1-summaries/23170200V1Summary.json,abed6ec8c5148ce92828e243add882ebd38fd4c742bbce87a9054c4c7add10d6,400020,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23173000V1Summary.json,reference/approved-v1-summaries/23173000V1Summary.json,1f05b7fb715c514f0158c93738d0291736ddbad62e0353f31c2e3b46e1ace7f7,232871,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23173300V1Summary.json,reference/approved-v1-summaries/23173300V1Summary.json,46019fcc6f3cfae13ffe6fc77a3e78eea02e44c8a23221b537220378caa80201,632694,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23180600V1Summary.json,reference/approved-v1-summaries/23180600V1Summary.json,c0f1c068ae9228bef6db9fd89b67a3096200d1b10430c10fe2bbca28e49ae824,560942,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23182300V1Summary.json,reference/approved-v1-summaries/23182300V1Summary.json,14afc4d618f5dff7ae24af10b82011f45af928b607ab47e75f7fcb91941d6565,533587,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23201500V1Summary.json,reference/approved-v1-summaries/23201500V1Summary.json,f816a9467d8076083a9786d21b630626dfc2568608396fe23c4619832bea7f1f,619584,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23201600V1Summary.json,reference/approved-v1-summaries/23201600V1Summary.json,258e732b816173aeefc8a969103f1fbed04b7c66a436aee49c5011804bd6d08b,516335,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/raw-approved-v1-engines/23205500V1Summary.json,reference/approved-v1-summaries/23205500V1Summary.json,e50dc520b4921679ed768674c63c189c2a02a7f12cc5207ccc188118bf1a26d7,233616,text/plain,imported,Imported per approved mapping; source and destination SHA-256 match.
